Brand Name,Generic Name,Purpose
Dolo 650,Paracetamol,Fever and Mild Pain
Calpol,Paracetamol,Fever
Azithral,Azithromycin,Bacterial Infection
Augmentin,Amoxicillin and Clavulanate,Bacterial Infection
Allegra,Fexofenadine,Allergy
Cetaphil,Cetirizine,Allergy
Pantocid,Pantoprazole,Acid Reflux
Omez,Omeprazole,Acid Reflux
Ascoril,Guaifenesin,Cough
Combiflam,Ibuprofen and Paracetamol,Pain and Fever
Ecosprin,Aspirin,Blood Thinner
Telma,Telmisartan,High Blood Pressure
Amlokind,Amlodipine,High Blood Pressure
Glycomet,Metformin,Diabetes
Thyronorm,Thyroxine,Thyroid
Domstal,Domperidone,Nausea and Vomiting
Levocet,Levocetirizine,Allergy
Montair,Montelukast,Asthma and Allergy
Crocine,Paracetamol,Fever
Benadryl,Diphenhydramine,Cough and Cold
